City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,palu,-0.8917,119.8707,24.15,96,100,1.15,ID,1701549832
1,edinburgh of the seven seas,-37.0676,-12.3116,13.91,77,100,2.94,SH,1701549833
2,timmins,48.4669,-81.3331,-3.1,74,40,3.09,CA,1701549699
3,port-aux-francais,-49.35,70.2167,5.68,86,28,12.65,TF,1701549833
4,geraldton,-28.7667,114.6,20.23,73,75,4.12,AU,1701549833
5,mount pearl,47.5166,-52.7813,3.8,93,75,3.09,CA,1701549833
6,bilibino,68.0546,166.4372,-25.9,97,57,1.14,RU,1701549833
7,lhasa,29.65,91.1,-1.64,55,0,2.13,CN,1701549833
8,grytviken,-54.2811,-36.5092,4.45,91,87,6.0,GS,1701549834
9,miresu mare,47.5,23.3333,9.1,80,100,7.07,RO,1701549834
10,quelimane,-17.8786,36.8883,24.97,78,20,2.06,MZ,1701549834
11,villa gesell,-37.2639,-56.973,21.14,81,0,13.13,AR,1701549834
12,talara,-4.5772,-81.2719,27.42,61,0,8.23,PE,1701549834
13,sebdou,34.637,-1.3314,9.61,92,15,1.75,DZ,1701549834
14,bredasdorp,-34.5322,20.0403,17.08,72,100,2.0,ZA,1701549834
15,bethel,41.3712,-73.414,13.33,79,0,0.0,US,1701549835
16,waitangi,-43.9535,-176.5597,14.9,76,100,4.92,NZ,1701549835
17,worthington,40.0931,-83.018,13.09,75,100,3.6,US,1701549786
18,hamilton,39.1834,-84.5333,13.57,76,100,1.34,US,1701549706
19,christchurch,-43.5333,172.6333,24.11,46,99,7.2,NZ,1701549606
20,st. john's,47.5649,-52.7093,4.26,93,75,3.13,CA,1701549835
21,leh,34.1667,77.5833,-8.99,67,35,1.12,IN,1701549836
22,dudinka,69.4058,86.1778,-29.1,88,6,7.97,RU,1701549836
23,al mindak,20.1588,41.2834,15.78,47,23,1.91,SA,1701549836
24,tabou,4.423,-7.3528,26.12,87,58,2.58,CI,1701549836
25,genhe,50.7833,121.5167,-22.68,100,91,1.19,CN,1701549836
26,dana point,33.467,-117.6981,22.04,68,4,1.79,US,1701549837
27,barranca,-10.75,-77.7667,21.7,76,82,4.72,PE,1701549837
28,hashtrud,37.4779,47.0508,4.46,37,73,0.83,IR,1701549837
29,vadso,70.0744,29.7487,0.09,100,100,6.17,NO,1701549837
30,coquimbo,-29.9533,-71.3436,19.85,63,0,6.17,CL,1701549837
31,albany,42.6001,-73.9662,9.85,91,95,0.83,US,1701549757
32,bol,13.4586,14.7147,25.82,38,28,4.37,TD,1701549837
33,auki,-8.7676,160.7034,25.48,92,100,2.71,SB,1701549837
34,hawaiian paradise park,19.5933,-154.9731,26.04,85,20,3.6,US,1701549838
35,nemuro,43.3236,145.575,2.0,56,9,5.1,JP,1701549838
36,shar,49.5886,81.0453,0.71,62,100,6.78,KZ,1701549838
37,tura,25.5198,90.2201,17.44,79,68,1.8,IN,1701549838
38,happy valley-goose bay,53.3168,-60.3315,-9.83,67,20,4.12,CA,1701549838
39,waingapu,-9.6567,120.2641,26.4,84,88,1.62,ID,1701549838
40,ushuaia,-54.8,-68.3,6.81,70,75,7.72,AR,1701549683
41,port mathurin,-19.6833,63.4167,25.55,79,100,5.72,MU,1701549839
42,bubaque,11.2833,-15.8333,28.09,69,100,5.72,GW,1701549839
43,asifabad,19.3667,79.2833,20.86,62,100,1.2,IN,1701549839
44,puerto natales,-51.7236,-72.4875,6.25,75,75,11.32,CL,1701549839
45,antalaha,-14.9003,50.2788,23.36,95,100,3.02,MG,1701549839
46,fale old settlement,-9.3852,-171.2468,27.25,73,100,1.76,TK,1701549839
47,ust-nera,64.5667,143.2,-33.04,99,100,1.21,RU,1701549839
48,yazman,29.1212,71.7446,18.43,40,0,2.37,PK,1701549839
49,saipan,15.1355,145.701,27.39,78,75,8.23,MP,1701549840
50,sao jose da coroa grande,-8.8978,-35.1478,26.01,78,91,5.71,BR,1701549840
51,margaret river,-33.95,115.0667,16.64,80,99,4.66,AU,1701549840
52,troitsk,54.0979,61.5773,-1.56,76,54,9.99,RU,1701549840
53,tuljapur,18.0,76.0833,21.52,68,40,3.81,IN,1701549840
54,mazar-e sharif,36.709,67.1109,13.06,53,87,0.47,AF,1701549840
55,blackmans bay,-43.0167,147.3167,14.07,94,100,1.89,AU,1701549840
56,ta`u,-14.2336,-169.5144,27.02,81,100,3.64,AS,1701549841
57,caleta de carquin,-11.0925,-77.6267,22.1,77,80,4.73,PE,1701549841
58,guanica,17.9716,-66.908,30.06,40,21,6.98,PR,1701549841
59,enewetak,11.3474,162.3373,27.55,77,95,7.76,MH,1701549841
60,jayapura,-2.5333,140.7,23.66,87,100,1.93,ID,1701549841
61,kenai,60.5544,-151.2583,-3.25,89,100,3.09,US,1701549841
62,san andres,12.5847,-81.7006,31.01,70,20,5.66,CO,1701549842
63,xuddur,4.1213,43.8894,25.55,52,100,4.15,SO,1701549842
64,punta arenas,-53.15,-70.9167,8.06,71,75,8.75,CL,1701549736
65,alice springs,-23.7,133.8833,18.75,82,2,0.0,AU,1701549842
66,la passe,45.5549,-0.8967,-0.87,84,12,2.81,FR,1701549842
67,cabo san lucas,22.8909,-109.9124,27.56,53,0,2.57,MX,1701549838
68,yellowknife,62.456,-114.3525,-16.71,85,100,4.63,CA,1701549843
69,iqaluit,63.7506,-68.5145,-5.15,58,75,8.75,CA,1701549843
70,dickson,36.077,-87.3878,14.75,98,100,0.0,US,1701549843
71,keflavik,64.0049,-22.5624,-2.76,68,0,2.57,IS,1701549843
72,sao vicente,-23.9631,-46.3919,36.1,79,0,5.14,BR,1701549843
73,adamstown,-25.066,-130.1015,22.52,82,17,6.18,PN,1701549844
74,west island,-12.1568,96.8225,24.99,73,100,3.6,CC,1701549844
75,nova sintra,14.8667,-24.7167,22.94,76,97,5.2,CV,1701549844
76,lebu,-37.6167,-73.65,12.58,56,0,9.51,CL,1701549844
77,santo antonio,-6.3106,-35.4789,26.02,68,82,5.28,BR,1701549844
78,paragominas,-2.9667,-47.4833,28.41,64,60,2.81,BR,1701549844
79,wailua homesteads,22.0669,-159.378,26.24,81,0,2.06,US,1701549844
80,castillos,-34.1667,-53.8333,22.47,83,100,2.64,UY,1701549845
81,benguela,-12.5763,13.4055,26.5,79,100,1.35,AO,1701549845
82,tiksi,71.6872,128.8694,-29.54,100,100,2.63,RU,1701549845
83,margate,51.3813,1.3862,-2.16,72,5,4.32,GB,1701549845
84,campo formoso,-10.5075,-40.3214,28.78,29,5,2.39,BR,1701549845
85,nagqu,31.5,92.0,-9.41,52,36,1.1,CN,1701549846
86,kimbe,-5.5502,150.1429,25.17,90,99,1.36,PG,1701549846
87,san julian,21.0167,-102.1667,21.29,36,100,4.68,MX,1701549846
88,ibeto,10.4854,5.145,26.27,17,33,2.51,NG,1701549846
89,anadyr,64.75,177.4833,-18.72,84,0,3.0,RU,1701549846
90,mocimboa,-11.3167,40.35,24.8,89,92,1.83,MZ,1701549846
91,afaahiti,-17.75,-149.2833,29.93,85,78,9.74,PF,1701549846
92,vorgashor,67.5833,63.95,-16.88,94,89,2.57,RU,1701549847
93,avarua,-21.2078,-159.775,26.03,73,40,4.63,CK,1701549847
94,colonia,50.9333,6.95,1.05,78,20,2.06,DE,1701549847
95,port elizabeth,-33.918,25.5701,19.62,91,75,1.03,ZA,1701549847
96,nema,57.5067,50.5011,-11.18,96,89,3.13,RU,1701549847
97,pandan,14.0453,124.1694,26.47,85,100,6.35,PH,1701549847
98,ribeira grande,38.5167,-28.7,15.22,55,40,7.6,PT,1701549847
99,nar'yan-mar,67.6713,53.087,-9.94,95,100,5.36,RU,1701549848
100,talnakh,69.4865,88.3972,-29.33,96,18,0.58,RU,1701549848
101,concepcion,-36.827,-73.0498,17.89,45,0,10.8,CL,1701549549
102,tocopilla,-22.092,-70.1979,21.05,67,20,5.1,CL,1701549848
103,aasiaat,68.7098,-52.8699,-12.68,85,48,1.76,GL,1701549849
104,cill airne,52.05,-9.5167,2.03,100,20,2.57,IE,1701549849
105,iringa,-7.7667,35.7,17.6,83,80,1.72,TZ,1701549849
106,dejen,10.1667,38.1333,15.45,52,93,1.0,ET,1701549849
107,smithers,54.7804,-127.1743,-1.82,100,100,1.54,CA,1701549849
108,haiku-pauwela,20.9219,-156.3051,27.87,72,40,2.06,US,1701549850
109,puerto ayora,-0.7393,-90.3518,25.86,88,85,3.13,EC,1701549850
110,sao felix do xingu,-6.6447,-51.995,33.07,40,94,1.3,BR,1701549850
111,priargunsk,50.3691,119.1012,-18.66,96,88,2.04,RU,1701549850
112,tayoltita,24.0833,-105.9333,24.4,31,99,2.94,MX,1701549850
113,falmouth,50.1544,-5.0711,9.32,70,100,3.09,GB,1701549850
114,ilulissat,69.2167,-51.1,-1.99,50,23,8.23,GL,1701549851
115,oltinko'l,40.8011,72.1634,9.29,38,47,1.12,UZ,1701549851
116,sola,-13.8833,167.55,26.76,83,100,8.17,VU,1701549851
117,al matariyah,31.1829,32.0311,19.97,72,0,5.83,EG,1701549851
118,tazovsky,67.4667,78.7,-27.26,95,6,4.59,RU,1701549851
119,conde,-7.2597,-34.9075,27.7,74,20,5.14,BR,1701549851
120,kegen,43.0197,79.2203,-2.48,54,79,2.85,KZ,1701549852
121,port lincoln,-34.7333,135.8667,15.25,75,14,6.31,AU,1701549852
122,crane,31.3974,-102.3501,17.07,22,0,7.49,US,1701549852
123,puerto aysen,-45.4,-72.7,6.98,99,99,2.49,CL,1701549674
124,lovech,43.1333,24.7167,8.43,62,100,2.49,BG,1701549853
125,fort bragg,35.139,-79.006,22.32,79,0,1.54,US,1701549853
126,pyin oo lwin,22.0333,96.4667,15.53,93,100,1.14,MM,1701549853
127,longyearbyen,78.2186,15.6401,-8.09,79,75,2.06,SJ,1701549853
128,saldanha,-33.0117,17.9442,17.03,77,2,7.69,ZA,1701549853
129,prado,-17.3411,-39.2208,25.86,77,0,6.52,BR,1701549853
130,port alfred,-33.5906,26.891,17.88,93,74,4.69,ZA,1701549854
131,pacific grove,36.6177,-121.9166,17.45,78,75,2.06,US,1701549854
132,santa terezinha,-29.9002,-50.0904,22.68,97,100,5.43,BR,1701549854
133,chonchi,-42.6128,-73.8092,11.56,54,61,3.64,CL,1701549854
134,lodja,-3.4833,23.4333,20.7,99,99,0.3,CD,1701549855
135,stanley,54.868,-1.6985,-2.34,96,20,0.51,GB,1701549855
136,karyes,37.3,22.5,12.33,95,100,2.5,GR,1701549855
137,treasure island,27.7692,-82.769,29.58,78,75,6.69,US,1701549855
138,praia da vitoria,38.7333,-27.0667,14.31,67,75,8.29,PT,1701549855
139,bel ombre,-4.6167,55.4167,26.91,83,40,2.57,SC,1701549856
140,nadym,65.5333,72.5167,-26.75,91,13,4.66,RU,1701549856
141,kattivakkam,13.2167,80.3167,25.05,92,100,8.93,IN,1701549856
142,howard springs,-12.497,131.047,27.68,83,100,2.03,AU,1701549856
143,kijang,35.2442,129.2139,-0.15,71,3,3.58,KR,1701549856
144,magadan,59.5667,150.8,-16.1,96,100,3.52,RU,1701549857
145,rongelap,11.1635,166.8941,27.55,73,72,8.48,MH,1701549857
146,sao joao da barra,-21.6403,-41.0511,28.05,90,0,6.44,BR,1701549857
147,lazaro cardenas,17.9583,-102.2,29.35,60,22,3.67,MX,1701549857
148,at taj,24.2049,23.2857,15.49,33,1,3.25,LY,1701549857
149,katsuura,35.1333,140.3,10.78,63,35,1.19,JP,1701549857
150,dalbandin,28.8947,64.4101,15.69,35,0,2.13,PK,1701549858
